Date,Time,Location,Chairperson,Vice Chair,Commissioners Present,Commissioners Absent,Meeting Topic,Approval Status,Vote
2018-07-19,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",Jean Monestime,"THE APPLICANTS SEEK TO MODIFY A PREVIOUSLY APPROVED DEVELOPMENT ORDER (DO) FOR THE DEVELOPMENT OF REGIONAL IMPACT (DRI) TO ALLOW FOR A SIMULTANEOUS DECREASE AND ADDITION OF NEW USES FOR THE DRI DEVELOPMENT PROGRAM, AND TO EXTEND THE BUILD-OUT DATE OF THE PROJECT. IN ADDITION, THE APPLICANTS ALSO SEEK TO REZONE A 62-ACRE PARCEL WITHIN THE DRI PROPERTY FROM IU-2 TO BU-2.  --",Approved,10
2018-09-27,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",None,"THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE OR IN THE ALTERNATIVE SETBACK VARIANCES TO PERMIT A PRIVATE SCHOOL ON THE SUBJECT PROPERTY FOR 850 STUDENTS IN GRADES K-8. ADDITIONALLY, THE APPLICANT IS REQUESTING TO PERMIT DRIVEWAYS AND PARKING WITHIN 25' OF THE RIGHT-OF-WAY, AND TO PERMIT OUTDOOR RECREATION SPACE LESS THAN PERMITTED BY CODE.  --",Approved,12
2018-10-03,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.; Barbara J. Jordan",None,"-  THE APPLICANT IS SEEKING APPROVAL TO PERMIT A DISTRICT BOUNDARY CHANGE FROM AU, AGRICULTURE DISTRICT TO EU-M, SINGLE-FAMILY MODIFIED ESTATE DISTRICT. IN ADDITION THE APPLICANTS ARE ALSO SEEKING APPROVAL TO PERMIT AN EXISTING SINGLE-FAMILY RESIDENCE SETBACK LESS THAN REQUIRED FROM THE PROPERTY LINE AND TO ALSO WAIVE THE SUBDIVISION REGULATIONS REQUIRING SIDEWALKS AND STREET LIGHTS. --",Approved,12
2018-10-25,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",Daniella Levine Cava,"- THIS APPLICATION WAS BIFURCATED TO ALLOW THE APPLICATION OF AN ADDITIONAL NON-USE VARIANCE REQUEST TO ALLOW A PROPOSED HIGH SCHOOL COMPONENT FOR THE PREVIOUSLY APPROVED CHARTER SCHOOL SPACED LESS THAN REQUIRED FROM THE URBAN DEVELOPMENT BOUNDARY (UDB). WITH THE BIFURCATED REQUEST, THE APPLICANTS ALSO SEEK TO MODIFY A CONDITION OF THE PRIOR RESOLUTION TO ALLOW THE HIGH SCHOOL USE.  --",Approved,12
2018-11-15,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Xavier L. Suarez; Daniella Levine Cava; Sen. Javier D. Souto; Jose ""Pepe"" Diaz",None,THE APPLICANT IS REQUESTING NON-USE VARIANCES OF ZONING REGULATIONS AND TO DELETE PAST AGREEMENTS IN ORDER TO REDEVELOP THE PROPERTY WITH A MIXED-USE BUILDING IN THE DOWNTOWN KENDALL URBAN CENTER DISTRICT (DKUCD).  --,Approved,12
2018-12-06,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Barbara J. Jordan; Audrey M. Edmonson; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",Sally A. Heyman,"THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE OR IN THE ALTERNATIVE SETBACK VARIANCES TO PERMIT A PRIVATE SCHOOL ON THE SUBJECT PROPERTY FOR 850 STUDENTS IN GRADES K-8. ADDITIONALLY, THE APPLICANT IS REQUESTING TO PERMIT DRIVEWAYS AND PARKING WITHIN 25' OF THE RIGHT-OF-WAY, AND TO PERMIT OUTDOOR RECREATION SPACE LESS THAN PERMITTED BY CODE.  --",Approved,11
2019-01-24,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Esteban L. Bovo, Jr.","Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz","- THIS APPLICATION SEEKS TO REZONE APPROXIMATELY 59 ACRES OF LAND RUNNING ALONG A FORMER RAIL CORRIDOR, FROM GU, EU-M, EU-1, RU-1, RU-2, IU-1, AND IU-2 TO CORRIDOR DISTRICT (CD) AND TO ADOPT THE LAND USE, BUILDING HEIGHTS, DESIGNATED OPEN SPACE AND BIKE ROUTE REGULATING PLANS. --",Approved,9
2019-02-21,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Barbara J. Jordan; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Esteban L. Bovo, Jr.","Jose ""Pepe"" Diaz",- THE APPLICANT IS REQUESTING MODIFICATION OF THE LAND USE REGULATING PLAN OF THE OJUS URBAN AREA DISTRICT (OUAD). --,Approved,10
2019-03-21,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,Rebeca Sosa; Xavier L. Suarez,Eileen Higgins; Daniella Levine Cava; Dennis C. Moss,"- THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE FROM BU-1 TO BU-1A, A SPECIAL EXCEPTION TO PERMIT A MULTI-FAMILY DEVELOPMENT AND A MODIFICATION OF A DECLARATION OF RESTRICTIONS IN ORDER TO SUBMIT REVISED PLANS SHOWING A MIXED USE DEVELOPMENT IN LIEU OF THE PREVIOUSLY APPROVED RETAIL AND OFFICE USES ON THE SUBJECT SITE. IN ADDITION, THE APPLICANT ALSO SEEKS ANCILIARY NON-USE VARIANCES OF THE FLOOR AREA RATIO (F.A.R.), HEIGHT AND SETBACK REQUIREMENTS OF THE BU-1A DISTRICT. --",Deferred,Unknown
2019-04-11,9:30:00  AM,"Commission Chambers, Miami-Dade County","Esteban L. Bovo, Jr.",Audrey M. Edmonson,"Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Joe A. Martinez; Esteban L. Bovo, Jr.",None,"- THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE FROM BU-1 TO BU-1A, A SPECIAL EXCEPTION TO PERMIT A MULTI-FAMILY DEVELOPMENT AND A MODIFICATION OF A DECLARATION OF RESTRICTIONS IN ORDER TO SUBMIT REVISED PLANS SHOWING A MIXED USE DEVELOPMENT IN LIEU OF THE PREVIOUSLY APPROVED RETAIL AND OFFICE USES ON THE SUBJECT SITE. IN ADDITION, THE APPLICANT ALSO SEEKS ANCILIARY NON-USE VARIANCES OF THE FLOOR AREA RATIO (F.A.R.), HEIGHT AND SETBACK REQUIREMENTS OF THE BU-1A DISTRICT. --",Approved,8
2019-05-09,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Barbara J. Jordan; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Sen. Javier D. Souto; Jose ""Pepe"" Diaz",Jean Monestime; Daniella Levine Cava; Dennis C. Moss,"- THE APPLICANT IS SEEKING TO MODIFY PREVIOUSLY APPROVED RESOLUTIONS AND DECLARATION OF RESTRICTIONS IN ORDER TO SUBMIT REVISED PLANS SHOWING THE PROPOSED ADDITION OF A CHAPEL ON THE SUBJECT PROPERTY, TO SUBMIT A LIGHTING PLAN, AND TO ALLOW THE PROPOSED OUTDOOR LIGHTING FOR THE EXISTING SPORTS AREAS ON THE SUBJECT PROPERTY. ADDITIONALLY, THE APPLICANT SEEKS APPROVAL TO PERMIT A RELIGIOUS FACILITY SETBACK LESS THAN REQUIRED FROM THE PROPERTY LINES, AS WELL AS PERMIT THE BUILDING TO HAVE MORE HEIGHT THAN PERMITTED BY CODE.  --",Approved,9
2019-05-23,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,Barbara J. Jordan; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Joe A. Martinez,None,"- 	THE APPLICANT IS SEEKING TO REZONE THE SUBJECT PROPERTY TO LEISURE CITY COMMUNITY URBAN CENTER DISTRICT (LCUCD). WITH THIS REQUEST, THE APPLICANT ALSO SEEKS TO AMEND THE LCUCD LAND USE REGULATING PLAN TO DESIGNATE THE PROPERTY AS MIXED USE CORRIDOR (MC) DISTRICT; TO AMEND THE LCUCD SUB-DISTRICT REGULATING PLAN TO DESIGNATE THE SUBJECT PROPERTY AS CENTER SUB-DISTRICT; TO AMEND THE STREET TYPES REGULATING PLAN TO DESIGNATE 272 STREET, AS AN A STREET AND A MINOR STREET.  --",Approved,12
2019-06-20,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Audrey M. Edmonson; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Jose ""Pepe"" Diaz",None,"- 	THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE FROM AU, EU-1, EU-M, OPD TO BU-2, ALONG WITH AN UNUSUAL USE TO PERMIT A NURSING HOME AND ASSISTED AND INDEPENDENT LIVING FACILITIES.  THE APPLICANT ALSO SEEKS TO DELETE A DECLARATION OF RESTRICTIONS AND COVENANT IN LIEU OF AS WELL AS ANCILLARY NON-USE VARIANCES OF SIGNAGE AND WAIVING DEDICATION ALONG PORTIONS OF A SECTION-LINE RIGHT-OF-WAY  --",Approved,8
2019-07-25,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez; Jose ""Pepe"" Diaz",None,"-	 THE APPLICANT IS SEEKING AN AMENDMENT OF THE NORTH CENTRAL URBAN AREA DISTRICT (NCUAD) REGULATING PLAN TO RE-DESIGNATE THE SUBJECT PROPERTY FROM MIXED USE CORRIDOR (MC) TO MIXED USE CORRIDOR SPECIAL (MCS).  --  LOCATION	: 651 NW 117 STREET & 661 NW 118 STREET, MIAMI-DADE COUNTY, FLORIDA. Approved Zoning Z-18-19 Mover: Jean Monestime Seconder: Joe A. Martinez Vote: 11 - 0 Absent: Heyman Excused: Bovo, Jr. REPORT: Ms. Amina Newsome, Senior Division Chief, Department of Regulatory and Economic Resources (RER), read into the record the title of the foregoing application, noting there were no protests or waivers filed. Chairwoman Edmonson opened the public hearing and upon seeing no one appear to speak, closed the public hearing. Mr. Daniel Raffoul, 1800 Sunset Harbor Drive, Apartment 2207, Miami Beach FL, appeared on behalf of his grandfather, the applicant, Mr. Alexander Gamarnik and stated in response to comments made by Commissioner Monestime at the June 20, 2019 Zoning meeting, the applicant had made every effort to clean the area and even installed ï¿½no parkingï¿½ signage and fire lanes throughout the site.  Mr. Raffoul noted the applicant hired staff to continue maintaining the area including the litter left by patrons of the food trucks located along 117th Street and submitted photos of the now clean area into the record as exhibits. Commissioner Monestime acknowledged improvements made to the subject properties as evidenced in the photos submitted by Mr. Raffoul and asked whether approval of the application could be contiguous to the maintenance and upkeep of the lots. Assistant County Attorney Abbie Schwaderer-Raurell pointed out the application sought to amend the North Central Urban Area District (NCUAD) regulating plan to re-designate the subject property from mixed use corridor (MC) to mixed use corridor special (MCS) and suggested directing staff to monitor the property and enforce pursuant to the Countyï¿½s code. Commissioner Monestime requested clarification regarding the proper vehicle to approve the application in light of staffï¿½s recommendation to deny without prejudice. Assistant County Attorney Schwaderer-Raurell stated a motion to approve the application was sufficient along with a separate directive to the administration related to monitoring and enforcing the Countyï¿½s regulations regarding maintenance and upkeep of the subject property. Commissioner Monestime moved to approve the foregoing application and requested staff continue to monitor the subject property and provide enforcement pursuant to the Countyï¿½s code. Hearing no further questions or comments, the Board proceeded to approve the application and the foregoing resolution was adopted by the Board and set forth in the Record of Resolutions and assigned #Z-18-19. Commissioner Monestime cautioned the applicant that County staff would continue to monitor the property to ensure it remained clean. 6/20/2019 Deferred by the Zoning Board APPEAL ITEM(S) 1 191830 Zoning Regulatory and Economic Resources PH NO.: Z2017000169  --  DISTRICT(S): 8  --  APPELLANT: THOMAS ''JEFF'' BLAKELY  --  ORIGINAL APPLICANT: ESTATES OF BISCAYNE LLC.  --  SUMMARY OF REQUEST(S):- THE APPELLANT IS APPEALING THE DECISION OF COMMUNITY ZONING APPEALS BOARD (CZAB) #14, WHICH APPROVED A DISTRICT BOUNDARY CHANGE FROM AU, AGRICULTURE DISTRICT AND GU, INTERIM DISTRICT TO EU-M, SINGLE-FAMILY MODIFIED ESTATE DISTRICT (RESOLUTION #CZAB14-2-19).  --",Approved,11
2019-10-31,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Joe A. Martinez,None,"- THE APPELLANT IS APPEALING THE DECISION OF COMMUNITY ZONING APPEALS BOARD (CZAB) #14, WHICH APPROVED A DISTRICT BOUNDARY CHANGE FROM AU, AGRICULTURE DISTRICT AND GU, INTERIM DISTRICT TO EU-M, SINGLE-FAMILY MODIFIED ESTATE DISTRICT (RESOLUTION #CZAB14-2-19).  --",Approved,7
2019-11-21,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Barbara J. Jordan; Jean Monestime; Audrey M. Edmonson; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Jose ""Pepe"" Diaz; Esteban L. Bovo, Jr.",None,"THE APPLICANT IS SEEKING AN AMENDMENT OF THE NARANJA COMMUNITY URBAN CENTER DISTRICT (NCUCD) REGULATING PLAN TO RE-DESIGNATE THE SUBJECT PROPERTY FROM MIXED USE CORRIDOR (MC) AND RESIDENTIAL MODIFIED (RM) TO MIXED USE CORRIDOR. ADDITIONALLY, THE APPLICANT SEEKS ANCILLARY NON-USE VARIANCES TO THE AFOREMENTIONED REGULATIONS.  --  LOCATION	: LYING BETWEEN SOUTH DIXIE HIGHWAY (US HIGHWAY NO. 1) AND SW 145 AVENUE ROAD, APPROXIMATELY 200ï¿½ NORTH  OF SW 266 STREET, MIAMI-DADE COUNTY, FLORIDA Deferred
					to
					
						No Date Certain Zoning Z-20-20 Mover: Rebeca Sosa Seconder: Xavier L. Suarez Vote: 8 - 0 Excused: Heyman , Higgins , Moss , Souto , Martinez REPORT: Mr. Nathan Kogon, Assistant Director, Department of Regulatory an Economic Resources, announced the applicant requested an indefinite deferral. Hearing no further questions or comments, the Board proceeded to approve the deferral request. 2 192773 Zoning Regulatory and Economic Resources PH: Z2019000042  --  DISTRICT(S) 12  --  APPLICANT: AMB I-75, LLC.  --  SUMMARY OF REQUEST(S): THE APPLICANT IS SEEKING TO CHANGE THE ZONING FROM IU-C, INDUSTRIAL CONDITIONAL DISTRICT TO PAD, PLANNED AREA DISTRICT, IN ORDER TO ALLOW FOR THE SUBMITTAL OF A SITE PLAN SHOWING A NEW 1,369 UNIT MULTI-FAMILY RESIDENTIAL DEVELOPMENT ON THE SUBJECT PROPERTY. ADDITIONALLY, THE APPLICANT IS SEEKING APPROVAL FOR ACCEPTANCE AND EXECUTION OF A DEVELOPMENT AGREEMENT.  --",Approved,8
2020-01-23,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Jean Monestime; Audrey M. Edmonson; Sally A. Heyman; Eileen Higgins; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss; Sen. Javier D. Souto; Jose ""Pepe"" Diaz","Barbara J. Jordan; Esteban L. Bovo, Jr.","THE APPLICANT IS SEEKING A DISTRICT BOUNDARY CHANGE FROM RU-1, RU-4A, BU-1A, IN ORDER TO DEVELOP THE SUBJECT PROPERTY WITH A SELF-STORAGE FACILITY. ADDITIONALLY, THE APPLICANT SEEKS ANCILLARY NON-USE VARIANCES OF FLOOR AREA RATIO (FAR) AND ZONING REGULATIONS AND A REDUCED SETBACK. --",Approved,10
2020-02-20,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,"Audrey M. Edmonson; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Joe A. Martinez; Esteban L. Bovo, Jr.",None,"THE APPLICANTS ARE REQUESTING THE PARTIAL RELEASE OF A RESTRICTION AS RECORDED IN OFFICIAL RECORD BOOK 5891, PAGE 633, WHICH LIMITED THE USE OF THE PROPERTY TO A GOLF COURSE, CLUB HOUSE AND ANCILLARY USES.  --",Deferred,Unknown
2020-07-23,9:30:00  AM,"Commission Chambers, Miami-Dade County",Unknown,Audrey M. Edmonson,Sen. Javier D. Souto; Joe A. Martinez; Audrey M. Edmonson; Sally A. Heyman; Rebeca Sosa; Xavier L. Suarez; Daniella Levine Cava; Dennis C. Moss,Eileen Higgins,,Approved,9
